"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000046808"	1.49395449333613	2.16442368809933	4.49458033353066e-11	2.27136155934658e-09
"ENSMUSG00000097815"	1.10364799576998	3.6127275415884	4.56972915221717e-11	2.29971619585329e-09
"ENSMUSG00000029314"	1.30427555623059	3.39534100626465	4.59960081679869e-11	2.30514434295828e-09
"ENSMUSG00000038366"	-0.658338575215918	6.60380097247933	4.87012355522936e-11	2.43063439256447e-09
"ENSMUSG00000030800"	-1.27055608603909	3.18003796556186	5.56125482726947e-11	2.76414962155394e-09
"ENSMUSG00000074794"	-1.37491865942685	5.32574848173486	5.62926490090044e-11	2.78648612594572e-09
"ENSMUSG00000036585"	0.718287735357931	7.2417657806636	5.94559643737257e-11	2.93105770492188e-09
"ENSMUSG00000032300"	1.22288145541414	4.55203644547389	6.18071914973133e-11	3.03458235327053e-09
"ENSMUSG00000042524"	0.827350742305848	6.90510560676714	6.94336352808133e-11	3.39522043288123e-09
"ENSMUSG00000019997"	1.5326756910905	3.86027544097429	7.43048835347757e-11	3.61876767472993e-09
"ENSMUSG00000023043"	-0.71636897624513	6.62244584918422	7.63103433449803e-11	3.70151135309507e-09
"ENSMUSG00000047150"	-1.01504948029325	3.38453095175239	7.83498162397412e-11	3.78523632217438e-09
"ENSMUSG00000026343"	-1.08388100765391	2.36781332567306	9.25047114316222e-11	4.45128248872961e-09
"ENSMUSG00000047496"	-1.09655649615356	4.4911325891136	9.81168185430326e-11	4.70259894588392e-09
"ENSMUSG00000093930"	-1.11649139408966	6.09056839169366	1.00718478162448e-10	4.80821256618991e-09
"ENSMUSG00000005836"	0.947119719008514	2.81042335068391	1.10408574334539e-10	5.23609525461393e-09
"ENSMUSG00000040170"	1.50380946780578	5.67210052648669	1.10548459175903e-10	5.23609525461393e-09
"ENSMUSG00000028195"	-1.31050170696108	2.62788249843235	1.28934453543018e-10	6.08308722614284e-09
"ENSMUSG00000033634"	-0.713146175997411	9.747682438826	1.31198130395332e-10	6.16580163001874e-09
"ENSMUSG00000091387"	0.977994367864115	3.39218254753869	1.36138589359316e-10	6.37318559023962e-09
"ENSMUSG00000030643"	2.05458220969182	3.5166540219596	1.38463800289672e-10	6.45701073319943e-09
"ENSMUSG00000032193"	-0.957561903231906	7.24208378925106	1.48393841059572e-10	6.89296035810155e-09
"ENSMUSG00000019838"	0.877489978096669	6.86112153624404	1.48953688811434e-10	6.89296035810155e-09
"ENSMUSG00000000811"	-0.928521324430104	3.31464580887095	1.54444878028869e-10	7.11979098027740e-09
"ENSMUSG00000022358"	1.30880839589119	2.26907970834598	1.73749467391989e-10	7.97926261277736e-09
"ENSMUSG00000063919"	2.1783426241603	1.76990803858394	2.04208269761697e-10	9.34252834159765e-09
